PuzzleId,FEN,Moves,Rating,Themes
UMSWx,8/p7/1p2p3/4P3/3Pr3/2P3k1/PP2Kp2/5Q2 w - - 1 43,e2d3 e4e1 f1f2 g3f2,972,crushing endgame queenRookEndgame short trappedPiece
fSo1J,1r5k/1b1qN1rR/p2p1B2/8/4P3/5P2/1PP3P1/1K1R4 b - - 0 29,h8h7 d1h1 d7h3 h1h3,972,anastasiaMate mate mateIn2 middlegame short
ij4c5,7k/8/2p1RpBP/3p1Np1/p2P2P1/2PK4/5P2/1q6 w - - 4 36,d3e3 b1e1 e3f3 e1e6,972,crushing endgame master short skewer
jZNIe,r5r1/pp3p2/2pp1k2/4p3/2B1PP1p/1Q1PP2q/PP3B1P/R4RK1 w - - 1 23,g1h1 h3f3,972,mate mateIn1 middlegame oneMove
HdqG2,r4bkr/pp2p1p1/2n2n1p/3p3P/3P1Bq1/2PB1P2/PP2Q3/RN2K2R b KQ - 0 15,g4f4 e2e6,973,mate mateIn1 oneMove opening
LxPPS,2r3k1/5ppp/p7/4p3/PPr5/3QPqP1/R4P1P/1R4K1 w - - 0 29,d3e2 c4c1 e2e1 c1e1,973,crushing endgame short
1WY14,3k4/8/2P3p1/K3Bp2/5P1P/5n2/8/8 b - - 0 54,f3h4 e5f6 d8c8 f6h4,974,crushing endgame fork short
7ewho,8/8/3Pk3/2r2p1p/4p2P/4K1P1/3R4/8 b - - 0 37,c5d5 d2d5 e6d5 d6d7,974,advancedPawn crushing endgame rookEndgame short
9Ug3E,r3kbnr/pp1bpppp/n7/1N1p4/8/2P1PN2/P3BPPP/q1BQK2R b Kkq - 2 10,d7b5 e2b5 e8d8 d1d5,974,crushing opening short
BIU9I,6k1/8/p1R5/2p1rb2/2R2pp1/2P2P2/5KP1/8 w - - 0 39,c4c5 g4g3 f2f1 f5d3 f1g1 e5e1,974,endgame long mate mateIn3
JqoPR,3r3r/pk1p2p1/1pp2p1p/n4Q2/5B2/q1P2P2/P1P3PP/1R2R1K1 b - - 3 22,h8e8 e1e8 d8e8 f5d7 b7a6 d7e8,974,attraction crushing fork long middlegame
NPrPU,8/6k1/8/p7/1p6/1P2Rqp1/P2K4/8 b - - 1 61,g7g6 e3f3 g3g2 f3g3,974,crushing endgame hangingPiece master short
iCQRn,4r1k1/6pp/4p3/4R3/2p2N2/2P1BnPK/7P/8 w - - 6 32,e5e6 f3g5 h3g4 g5e6,974,advantage endgame fork short
v9NjT,r3kb1r/pp2pppp/q1bp4/3n4/3P2Q1/8/1P1BNPPP/2R1K2R b Kkq - 1 16,c6b5 c1c8 a8c8 g4c8,974,mate mateIn2 middlegame short
9Yj6e,8/1p6/8/p5R1/1r4P1/1k3P2/4K3/8 w - - 0 43,g5g8 a5a4 g4g5 a4a3 g5g6 a3a2,975,advancedPawn advantage endgame long quietMove rookEndgame
YMOqc,2b2rk1/5p1p/4pqp1/2Np4/3n4/1BQ2N2/Pr3PPP/R3R1K1 w - - 0 23,f3d4 f6f2 g1h1 f2g2,975,kingsideAttack mate mateIn2 middlegame short
eQOKz,1R4k1/4p1bp/6p1/2pPPp2/5PP1/5B1P/3n2K1/r7 b - - 1 36,g8f7 e5e6 f7f6 g4g5,975,endgame mate mateIn2 short
nPqZa,r6k/2q2p1p/p1n1b1R1/1p2P2N/3P4/2P2Q2/PP5P/R6K b - - 0 29,h7g6 f3f6 h8h7 f6g7,975,mate mateIn2 middlegame short
vPwPk,r6r/pbp1qpp1/1p2N1k1/n2pP3/P2P1PQ1/2P5/2P3PP/R4RK1 b - - 0 16,g6h7 g4g7,975,mate mateIn1 middlegame oneMove
7pgvU,r3kb1r/pppq1ppp/3p1n2/4p3/2BnP3/P1NPBP2/1PP2P1P/R2QK2R w KQkq - 1 9,c3e2 d4f3 e1f1 d7h3,976,mate mateIn2 opening short
Ciu0w,4r3/pp4pp/3k1pb1/3P4/3n2P1/P4B2/1P1K1P1P/2R3N1 w - - 1 26,f3g2 d4b3 d2d1 b3c1,976,crushing endgame fork short
MbiT3,4B3/p5pk/5n1p/q3n3/3pb1P1/1Q4BP/PP3P2/2R3K1 w - - 0 29,e8b5 e5f3 b3f3 e4f3,976,crushing middlegame short
YcCw9,6rk/2p3r1/1p1q3p/p2P4/4P3/2Q5/PP3RPP/5RK1 w - - 0 29,f2f6 g7g2 g1h1 g2h2,976,endgame mate mateIn2 short
BojWB,6k1/ppp3n1/1bnp2r1/5qN1/5P1Q/2P3BP/P5P1/4R2K b - - 0 26,b6c5 h4h7 g8f8 h7h8,977,kingsideAttack mate mateIn2 middlegame short
Y3dDI,r4rk1/5ppp/p1n3q1/1p1Bb3/3p4/P5P1/1PPQNR1P/5RK1 b - - 3 20,f8d8 d5f7 g6f7 f2f7,977,crushing fork middlegame short
7hTow,rnb1kb1r/pp3ppp/4p3/4N3/2q5/8/P1BB1PPP/R2QK2R b KQkq - 1 13,c4b5 c2a4 b5a4 d1a4,978,crushing opening pin short
SmBqr,1r2k2r/p2Q1p2/2p4p/q6p/2B1P3/2P5/P1P2PP1/2KR4 b - - 0 18,e8f8 d7f7,978,endgame mate mateIn1 oneMove
58Xgv,2r3k1/p1rn1pbp/4pqp1/Q1pb4/N2Nn3/BP2PPP1/P3B2P/2RR2K1 b - - 0 21,c5d4 c1c7 c8c7 a5c7,979,advantage master middlegame short
LriT2,r4rk1/p3b2p/b1n1pnRP/q2p4/1p6/P1N1B3/1PQ2P2/2KR4 b - - 0 21,h7g6 c2g6 g8h8 g6g7,979,kingsideAttack mate mateIn2 middlegame short
QZoEV,r1bq3r/pppnbkpp/3p1n2/4p1N1/3PP3/2N5/PPP2PPP/R1BQK2R b KQ - 1 7,f7f8 g5e6 f8f7 e6d8,979,advantage fork opening short
SOMa1,8/p1pR2n1/1p2p1p1/6kp/1P2B3/P4PKP/r7/8 w - - 0 35,d7g7 h5h4,979,endgame mate mateIn1 oneMove
nMhW3,N7/1p4pp/p1nk4/2p5/5r2/P2P1B2/1PP2nP1/R1B1b2K w - - 1 24,h1h2 f4h4 h2g1 h4h1,979,mate mateIn2 middlegame short
WlnBV,2k3r1/ppp2pr1/3qpp1p/1P3n2/3P3N/4P2P/P3QPP1/R1R3K1 w - - 3 20,h4f5 g7g2 g1f1 g2g1,980,kingsideAttack mate mateIn2 middlegame short
OB4ek,1r3rk1/p1p2ppp/2p5/3pn3/7q/1P1B3b/P1PQNPP1/R4RK1 w - - 0 15,g2h3 e5f3 g1g2 f3d2,981,crushing fork middlegame short
nZpqE,8/6kp/4Q3/2p2p1q/3b2p1/6P1/P2R2KP/8 w - - 0 31,a2a4 h5h3 g2h1 h3f1,981,endgame mate mateIn2 short
EVyjC,r1b1k1nr/ppp1qppp/8/4n3/1bPN4/P7/1P1NPPPP/R1BQKB1R w KQkq - 0 8,a3b4 e5d3,982,mate mateIn1 oneMove opening pin smotheredMate
LLpnB,8/p5pb/2p4k/3p2N1/7p/2KP3r/PPP5/6R1 b - - 5 41,h3h2 g5f7 h6h5 g1g5,982,endgame mate mateIn2 short
jw7Pm,8/p1r1kp1p/R7/1KPbP3/8/P5P1/4P2P/8 b - - 4 38,e7d7 a6d6 d7c8 d6d5,982,advantage endgame fork short
79uuZ,rnb1kb2/ppp2pp1/8/4p3/4P1Pq/3p4/PPPP1PP1/R1BQKBNN w Qq - 1 10,g1h3 c8g4 d1g4 h4g4,983,crushing master opening short trappedPiece
RGvir,6rk/p3qp2/Pp2p1rp/3nNp2/3Pn3/1N4PP/1P2RP2/R1Q4K b - - 0 24,g6g3 c1h6,983,kingsideAttack master mate mateIn1 middlegame oneMove
puz5y,1r4k1/pbpp3p/1p1P4/8/5ppq/1B3Q1N/PP5K/8 b - - 0 32,g8h8 f3c3 h4f6 c3f6,983,endgame mate mateIn2 short
qBZoJ,1r1k4/7B/5bQ1/1pppP3/p2P1r2/P1P5/R5RK/5q2 w - - 0 43,e5f6 f4h4 h2g3 f1f4,983,mate mateIn2 middlegame short
zgapF,r5k1/5p2/7R/5p2/2q1pQ2/4P1P1/5P1P/6K1 w - - 1 36,f4f5 a8a1 g1g2 c4f1,983,endgame mate mateIn2 short
68sy5,3q1b1r/1r3kpp/3pb3/1N1Pp3/PP3p2/2P2QP1/5P1P/R4RK1 b - - 0 21,e6h3 f3h5 f7g8 h5h3,984,crushing fork master middlegame short
NVGo0,8/8/1p6/p1p5/5p2/P2P4/1PP1K1k1/4R1Br b - - 7 47,h1g1 e1g1 g2g1 e2f3,984,crushing endgame rookEndgame short
il9AL,5r2/1bp2p1k/p3nBp1/1p2R3/6p1/P1P5/1PB2KPP/8 b - - 1 32,f8e8 e5h5 h7g8 h5h8,984,endgame master mate mateIn2 operaMate pin short
zV1Oe,3r4/2R2p2/4pkn1/1B6/5PP1/6K1/8/8 b - - 2 49,g6e7 g4g5 f6g7 c7e7,984,advantage deflection endgame master short
zkoeq,B1b5/p1NpBk1p/1p1P4/5p2/5P2/8/P1P1K2P/r6n b - - 0 25,a1a2 a8d5 f7g6 d5a2,984,crushing endgame fork short
0mTop,1r1r2k1/p2q1pbp/8/4p1Q1/3pNp2/8/PPP2PPP/1R1R2K1 b - - 1 20,h7h6 e4f6 g8h8 f6d7 h6g5 d7b8,985,middlegame
O4ksk,r1bq2k1/ppp4p/3p1n1Q/7N/4rP2/8/PPP3P1/R1B2K1R b - - 5 18,f6g4 h6g7,985,mate mateIn1 middlegame oneMove
c3zR1,r5k1/5p2/2R3p1/p6p/2pp3P/3n4/5PP1/3R2K1 w - - 0 29,c6c4 d3b2 c4d4 b2d1,985,advantage endgame fork master short
lKypk,8/8/4Pkpp/p2P2n1/3K1N2/8/P7/8 w - - 1 50,d5d6 g5e6 f4e6 f6e6,985,crushing endgame knightEndgame short
lW9rm,r6Q/ppk1pp1p/1q1p2p1/1B2N3/P3n3/8/1PP2PPP/R3K2R w KQ - 3 16,h8a8 b6f2 e1d1 f2d2,985,attackingF2F7 mate mateIn2 middlegame short
mlLTN,6Q1/4r3/p3k1p1/3bqp2/8/8/PPP5/2KR4 b - - 17 45,e6d7 d1d5 e5d5 g8d5,985,crushing endgame fork master short
rXXBM,r2qkb1r/ppp2Bpp/2np4/4N3/8/2P5/PPP2PPP/R1BbK2R b KQkq - 0 9,e8e7 c1g5,985,mate mateIn1 oneMove opening
WAHiF,8/pk1n2QR/1p3P2/2q5/6P1/P1pp2p1/2P5/1RB3K1 w - - 5 33,g1g2 c5f2 g2h3 f2h2,986,endgame mate mateIn2 short
d3fVn,4rk2/pp2npp1/7p/3b3N/3p1PP1/P5P1/1PPN1K2/4R3 b - - 2 28,e7c6 e1e8 f8e8 h5g7,986,attraction crushing endgame short
eIySi,2r2rk1/pp1q2b1/6np/2p1Pp2/2Pp4/1Q1P4/PP3PBP/R3R1K1 b - - 0 23,d7e6 g2d5 g6f4 d5e6,986,advantage kingsideAttack master middlegame pin short
kRh1D,2R3k1/5p1p/1p2p1pb/1B1nP3/P2P4/BP2q3/6PP/7K b - - 0 27,g8g7 a3f8 g7h8 f8h6,986,deflection discoveredAttack discoveredCheck endgame mate mateIn2 pillsburysMate short
4yH7z,r2qk2r/pp3ppp/2n1p3/1B1p4/3Pb3/P3PN2/1P3PPP/R2QK2R w KQkq - 0 12,f3e5 d8a5 d1d2 a5b5,987,advantage fork middlegame short
HHr1i,1r5k/5Bp1/p4nP1/2R5/1P2N3/1r6/6K1/8 b - - 3 53,f6e4 c5h5,987,endgame mate mateIn1 oneMove pillsburysMate
cr0v6,6rk/p2n2b1/6Qp/3p2N1/5P2/P1q5/6P1/5R1K b - - 3 30,h6g5 g6h5 g7h6 h5h6,987,endgame mate mateIn2 short
j5iqZ,8/5k2/p4pnP/1p1qp3/1P4Q1/P3PNPK/3p1P2/8 w - - 2 38,f3d2 d5h1,987,endgame mate mateIn1 oneMove
qQ9VN,6k1/2p2pp1/7p/6b1/2B5/1R2P3/P2r2PP/6K1 b - - 3 24,d2c2 b3b8 g8h7 c4d3 g7g6 d3c2,987,advantage endgame fork long
1xdHR,8/2k5/4n3/5P1K/8/6P1/8/8 b - - 0 51,e6g7 h5g6 g7f5 g6f5,988,crushing defensiveMove endgame knightEndgame short
6hwd7,1r6/3N1p1k/5p1p/p2p1P2/2p1p3/2P1P3/3r1PRK/8 b - - 1 32,b8b2 d7f6 h7h8 g2g8,988,arabianMate endgame mate mateIn2 short
ULEve,r1b1kb1r/p2p1ppp/2p1p3/4P3/2nPBP2/8/PP4PP/RNB1K2R b KQkq - 0 15,d7d6 e4c6 c8d7 c6a8,988,crushing fork middlegame short
u6QA8,1R6/1P4kp/5r2/n3p3/2p5/2P2pPK/P4P1P/8 b - - 0 38,f6f7 b8g8 g7g8 b7b8q,988,advancedPawn attraction crushing endgame promotion short
0RaDJ,2K5/5k2/2PQ4/q7/8/8/8/8 w - - 0 70,c6c7 a5a8 c8d7 a8e8,989,endgame master mate mateIn2 queenEndgame short
QSoFD,3r2k1/p1r2b1p/1p3p1B/nB2pP2/4N2q/4Q1P1/P6P/1R5K b - - 0 32,h4g4 e4f6 g8h8 f6g4 f7d5 h1g1,989,crushing defensiveMove fork long middlegame
f80Mi,6R1/1p3p1p/5P2/1r5P/p5k1/8/KPr5/5R2 b - - 1 33,g4h4 f1h1 c2h2 h1h2,989,endgame mate mateIn2 rookEndgame short
ILJWJ,r4bnr/pp1Bk1p1/4p3/5pp1/7P/1NP5/PP3PP1/2KR3R w - - 1 18,h4g5 h8h1 d1h1 e7d7,990,advantage middlegame short
bEgfL,5r1k/3R1p1p/8/1qr1p3/p3P3/6Q1/PPP3PP/1K3R2 w - - 7 31,d7f7 b5f1 f7f1 f8f1 g3e1 f1e1,990,endgame long mate mateIn3 xRayAttack
cVfl5,8/p4Qpk/5n1p/1Pp1p3/2P3P1/q4B1P/5PK1/8 b - - 0 38,e5e4 f3e4 f6e4 f7f5,990,crushing endgame sacrifice short
d22WP,Q1b5/ppk2ppp/2nbq3/8/2p2P2/2PP2P1/PB5P/1K1R2NR w - - 0 18,d3c4 e6e4 b1a1 e4h1,990,advantage fork middlegame short
JQrQQ,5k2/6p1/1r4P1/5P2/8/8/1p2R3/1K6 w - - 7 62,e2b2 b6b2 b1b2 f8e7 b2c3 e7f6 c3d3 f6f5 d3e3 f5g6,991,crushing endgame rookEndgame veryLong
K4U7a,4Nk2/1p6/6PK/2n5/8/p7/8/8 b - - 0 46,f8e8 g6g7 e8f7 h6h7 c5e6 g7g8q,991,advancedPawn advantage endgame knightEndgame long promotion
OTDGd,r6r/4p1k1/p3qpp1/1ppN4/3nPR2/2PP4/PP3QK1/5R2 w - - 1 26,c3d4 e6h3 g2g1 h3h1,991,mate mateIn2 middlegame short
QxSXw,2r1r1k1/pp1b1p2/3Pn1p1/q6p/4P3/1PN3PP/P2Q2B1/2RR2K1 w - - 1 23,d2f2 c8c3 c1c3 a5c3,991,advantage master middlegame short
ieQ9E,r2q1r2/ppp3kR/3pB1p1/3P2P1/2P1n3/8/PP1Q4/R3K3 b Q - 0 23,g7h7 d2h2 h7g7 h2h6,991,mate mateIn2 middlegame short
tlG2v,2r2qk1/1p2ppb1/3p2p1/p5r1/P5bQ/1B6/1PP1N3/1K1R3R b - - 1 23,g4e2 h4h7,991,master mate mateIn1 middlegame oneMove
5KzYE,r1b5/pp4pp/7k/4Q1N1/5P2/2Pq4/P5P1/6K1 b - - 17 35,d3g6 g5f7 g6f7 e5g5,992,clearance endgame master mate mateIn2 sacrifice short
EnwM2,rn3rk1/pb4pp/1p2q3/6N1/3p1BR1/2PQ4/PP4PP/R5K1 b - - 2 18,e6g4 d3h7,992,kingsideAttack mate mateIn1 middlegame oneMove
RIVIB,r4rk1/ppp2ppp/1b6/3Pp3/4P1QB/8/Pq3PPP/RN2R1K1 w - - 0 16,h4f6 b2f2 g1h1 f2e1,992,backRankMate fork mate mateIn2 middlegame short
chYUc,1r3rk1/4pp1p/1q1p2pb/8/1P1nP3/P1N1PB2/3Q2PP/R4RK1 w - - 0 22,d2d4 h6e3 d4e3 b6e3,992,crushing fork middlegame short xRayAttack
2d7xy,8/p5kp/3q2p1/2R5/N7/1PPp3P/3P1PP1/3B1K2 w - - 3 46,c5c4 d6h2 f2f3 h2h1 f1f2 h1d1,993,advantage endgame long master skewer
VScIz,1rbqkb1r/2N2p1p/2np4/3Np3/4p3/2P5/PP3PPP/R2QK2R b KQk - 2 14,e8d7 d1g4 f7f5 g4f5,993,mate mateIn2 opening short
b4N6p,8/8/5k1p/p1p2P2/Pp2K2P/1P6/8/8 w - - 1 43,e4f4 c5c4 b3c4 b4b3 c4c5 b3b2,993,advancedPawn crushing endgame long pawnEndgame
jYy1t,5rk1/1N1R2pp/r3p3/3pp1q1/8/1P1QP3/P5PP/2R3K1 w - - 0 26,d3a6 g5e3 g1h1 e3c1 a6f1 f8f1,993,backRankMate endgame fork long mate mateIn3
sVtbz,1k6/pp2qrpp/3p1n2/8/Q1Bp2b1/3P4/PP4PP/R1B2K1R w - - 0 18,c4f7 e7e2 f1g1 e2e1,993,mate mateIn2 middlegame short
lOKbL,8/7p/2p1r2k/3p1p2/5P2/4PKR1/7r/1R6 b - - 3 53,h2c2 b1h1 c2h2 h1h2,994,endgame mate mateIn2 rookEndgame short
nIhxl,3q1r1k/6bp/p2p1p2/1p1BR3/3p1NP1/3P3P/Pr6/R3Q1K1 b - - 0 26,d6e5 f4g6 h7g6 e1h4 g7h6 h4h6,994,kingsideAttack long mate mateIn3 middlegame sacrifice
pRlm7,6k1/pp3rp1/3P4/3Q4/8/8/Pq3PPP/R5K1 w - - 0 29,a1e1 b2f2 g1h1 f2e1,994,backRankMate endgame fork mate mateIn2 short
ORblV,R7/1p1b4/3kpP2/2bp4/2n4q/8/P6P/2Q2R1K w - - 1 35,f6f7 h4e4 f1f3 e4f3,995,mate mateIn2 middlegame short
VPRcX,3r2k1/pp1P1p1p/6p1/2R5/8/4r2P/P5P1/3R2K1 b - - 2 31,e3e7 c5c8 e7d7 c8d8 d7d8 d1d8,995,crushing endgame long rookEndgame xRayAttack
A671R,2k3r1/p1p4p/1p1p1p2/3P1q2/8/7P/PPPQ2P1/4R1K1 b - - 1 22,f5h3 e1e8 g8e8 g2h3,996,crushing endgame short
Ab14D,5rk1/pp3ppp/1qp3b1/8/Q3B3/1PP5/P2r1PPP/R3R1K1 w - - 1 21,e4g6 b6f2 g1h1 f2g2,996,kingsideAttack mate mateIn2 middlegame short
Cg8I8,rnb1k2r/pp1p1ppp/4p3/8/2P5/2R1P3/qP3PPP/2Q1KBNR b Kkq - 1 10,b8c6 c3a3 a2a3 b2a3,996,advantage middlegame short trappedPiece
E9WxL,8/Q5pk/7p/3p4/5Nq1/4P3/3n1PPP/5RK1 w - - 3 39,a7d4 d2f3 g1h1 f3d4,996,advantage endgame pin short
Jn8W4,1r1q2k1/p1n2p2/2p3pp/3b4/1P1Q4/P2B4/2P1NPPP/4R2K w - - 1 25,e2f4 d5g2 h1g2 d8d4,996,crushing discoveredAttack kingsideAttack middlegame short
82UI1,5r1k/7b/p6Q/qp1P4/2p2P2/5KP1/PP4P1/7R b - - 0 38,a5c7 h6f8,997,endgame hangingPiece mate mateIn1 oneMove
wUV3C,8/8/8/5PKp/6pP/6k1/8/8 b - - 0 53,g3f3 f5f6 g4g3 f6f7 g3g2 f7f8q,997,advancedPawn crushing endgame long pawnEndgame promotion
AhmMm,1Q6/1P4kp/5pp1/3n4/8/1r2P2P/5PP1/b5K1 w - - 0 30,b8d6 b3b1 g1h2 a1e5 d6e5 f6e5 b7b8q b1b8,998,crushing endgame fork veryLong
F5O0d,7k/p4r2/R2P4/6p1/8/1PK5/P2B4/3r4 b - - 3 57,f7f3 c3c2 d1d2 c2d2,998,advantage defensiveMove endgame master short
ZJ7FS,3n1rk1/1p3p2/pP2p1p1/2Q1P1Pp/2P1qP1P/3rB3/8/4RRK1 b - - 2 32,d8c6 c5f8 g8f8 e3c5 f8e8 e1e4,998,attraction crushing discoveredAttack kingsideAttack long middlegame sacrifice
lQ7FW,4R3/p5pk/2Qb3p/8/6r1/P1P4q/1P3PP1/5RK1 w - - 3 30,c6e4 g4e4 g2h3 e4e8,998,advantage endgame short
9JTw3,r1b2r1k/ppp1q2p/2np3Q/8/3PB3/2P2N1P/P4PP1/R4RK1 b - - 0 18,e7e4 h6f8,999,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove
SE5Gj,r4k2/7p/1p1R2p1/p2Pn3/4P3/1P4P1/P5KP/8 b - - 2 36,f8e7 d6e6 e7d8 e6e5,999,crushing endgame fork short
mNp4R,r5k1/4b1p1/2p5/p2p1qNQ/3P4/P6B/1P5K/8 b - - 3 38,f5g5 h3e6 g8f8 h5h8,1001,endgame master mate mateIn2 short
gYGlL,6k1/1p3pp1/4p2p/1P6/3Q4/6P1/r4PPK/2r5 b - - 1 33,c1b1 d4d8 g8h7 d8d3,1004,advantage endgame queenRookEndgame short
Fap4S,8/8/8/B7/5pk1/1P5p/5KbP/8 b - - 0 49,f4f3 b3b4 g4f5 b4b5 f5e5 b5b6 e5d6 b6b7,1005,advancedPawn bishopEndgame crushing endgame quietMove veryLong
tuSnH,rnbqk2r/p1p2ppp/8/3Pp3/1bp1n3/2N5/PPQ2PPP/R1B1KBNR b KQkq - 1 8,c8f5 c2a4 b8d7 a4b4,1008,advantage fork opening short
ShutV,4r3/pkp3bp/2p1r1p1/5p2/8/3P4/PPPB1PPP/R4K1R b - - 2 19,g7b2 a1b1 b7c8 b1b2,1010,crushing endgame pin short
Dni2Q,rnbqk2r/pppp1ppp/8/2bP2B1/2P1n3/5N2/PP2P1PP/RN1QKB1R w KQkq - 1 7,g5d8 c5f2,1013,mate mateIn1 oneMove opening
lf1ZE,2k4r/ppp4B/4P3/3p1p2/3P1Qb1/2Nq1pP1/PP3K2/2R5 w - - 3 29,c3d5 d3e2 f2g1 e2g2,1017,mate mateIn2 middlegame short
ZmD55,r3kbnr/pppn1ppp/3p1q2/8/2BPPQ2/8/PPP3PP/RNB1K2R w KQkq - 1 8,e1g1 f6d4 c1e3 d4c4,1020,advantage fork opening short
t7ruV,1k5r/1pp2ppp/8/p3q3/3B4/1P3P2/b1PQ3P/2K4R b - - 1 23,e5d5 d4a7 b8a7 d2d5,1033,crushing discoveredAttack endgame master queensideAttack short
8Ov1O,3QR3/5rkp/3p2p1/2p2n2/5P2/3P2qP/6B1/7K b - - 6 34,g3d3 e8g8 g7h6 d8g5,1034,endgame mate mateIn2 short
RGsrZ,2r4k/pQ3ppp/4p3/5n2/2P2Pq1/4B3/PP6/3R1RK1 w - - 0 30,g1f2 g4g3 f2e2 g3e3,1037,mate mateIn2 middlegame short swallowstailMate
43J6E,r1bq1rk1/pppn1pbp/6p1/4p3/2BnP3/2N2N1P/PPP2PP1/R1BQ1RK1 w - - 4 11,c1g5 d4f3 d1f3 d8g5,1040,crushing kingsideAttack master opening short
D7u2C,r4r1k/p1p3pp/2p5/4R3/8/1P5Q/PBq2PPP/R5K1 w - - 0 22,e5h5 c2f2 g1h1 f2f1 a1f1 f8f1,1040,backRankMate fork long mate mateIn3 middlegame sacrifice
DDkJC,4r1k1/2q2p1p/1p2pQp1/2npP3/3N4/6P1/1r3PKP/2R2R2 b - - 3 30,c5e4 c1c7 e4f6 e5f6,1040,crushing master middlegame short
h1Ev4,6r1/1p3p1k/p1p2p2/3n2rp/P5P1/7R/1P1Q3P/7K b - - 0 36,g5g4 h3h5 h7g6 d2h6,1041,endgame mate mateIn2 short
kt8Dr,4r1k1/5rBp/4pPp1/p3P3/7Q/P3pR2/6KP/2q5 b - - 3 36,e3e2 h4h7 g8h7 f3h3 c1h6 h3h6 h7g8 h6h8,1042,attraction endgame mate mateIn4 operaMate sacrifice veryLong
7YUEl,r1b1Nbkr/1pqn1p1p/p3pNpQ/8/5P2/8/PPP3PP/2KR1B1R b - - 5 17,d7f6 e8f6,1044,kingsideAttack mate mateIn1 oneMove opening
jaM6O,6rk/p1q4p/5p2/2p2r2/3pR3/1P3QP1/P1P3K1/4R3 w - - 0 31,f3f5 c7g3 g2f1 g3g2,1044,endgame mate mateIn2 short
7ny90,1k1r4/pp6/6Q1/3N4/3n3P/P2B4/KPP3P1/4q3 b - - 1 31,d8d5 g6g8 b8c7 g8d5,1047,advantage endgame fork master short
gEici,r2qkb1r/p1p2p2/1pn1p2p/5p2/3PN3/6P1/PPPQNP1P/R3K2R w KQkq - 0 12,d2c3 f8b4 e1c1 b4c3,1050,crushing middlegame pin short
EJxD1,r2q1r1k/pb4b1/2n3pp/3B1P2/4P3/8/PP1Q2P1/R1B1K2R b KQ - 0 20,g6f5 h1h6 g7h6 d2h6,1053,kingsideAttack mate mateIn2 middlegame short
XUhJ6,8/R2b1r2/2pk2R1/6P1/1p1ppr2/1P2p3/4B3/4K3 b - - 0 40,d6e5 a7a5 c6c5 a5c5,1056,endgame mate mateIn2 short
s2WKQ,r2q1rk1/3nbppp/bn1p4/1BpPp2P/4P1P1/2N1BPN1/PP1Q4/2KR3R w - - 1 17,b5c6 b6c4 c6a8 c4d2,1056,advantage middlegame short
wRe8x,6k1/3r4/2N1bp2/4p2p/P3P2P/5PK1/3r4/1R3R2 w - - 0 38,a4a5 d7g7,1056,endgame mate mateIn1 oneMove pillsburysMate
x2SZx,6k1/pp6/4q1rr/2pp1Q2/6nP/P1P1P1P1/1P6/4RRK1 b - - 0 32,g4e3 f5f8 g8h7 f1f7 e6f7 f8f7,1062,crushing exposedKing long middlegame
3WIcf,2r3k1/pp4pp/4pb1q/4P3/2P5/1P3QP1/P5KP/5R2 b - - 0 31,f6e5 f3f7 g8h8 f7f8 c8f8 f1f8,1065,backRankMate endgame long mate mateIn3 sacrifice
OAxY0,r3kb1r/ppp3p1/3p2qp/8/1n2N3/5N1Q/PPP2PPP/R1BK3R w kq - 1 18,e4c3 g6c2 d1e1 b4d3 e1f1 c2f2,1065,long mate mateIn3 opening
vogDw,5k1r/pp3p2/8/4Pp2/5Qb1/3q1PP1/PP5p/R6K w - - 0 29,f3g4 d3d5 f4f3 d5f3,1066,endgame master mate mateIn2 short
tpQUl,r1bk3r/3nbQp1/2pq3p/4p3/1p6/1B2BN2/1PP2PPP/1NKR4 b - - 2 18,d6f6 e3b6,1067,mate mateIn1 middlegame oneMove pin
xJEO9,8/4k1p1/4p3/4P2P/8/8/K7/8 b - - 0 52,e7d7 a2b3 d7c6 b3c4,1067,crushing defensiveMove endgame pawnEndgame short
pBYno,3r1b1r/Q1k3pp/1n2pn2/p1p2q2/P1N1p3/R7/1PP2PPP/5KNR b - - 0 17,c7c8 c4b6,1069,cornerMate hangingPiece mate mateIn1 middlegame oneMove queensideAttack
7g5Se,r5k1/3P1ppp/8/6P1/5BKP/1pq5/p7/R1R5 b - - 1 38,c3a1 c1c8 a8c8 d7c8q,1071,advancedPawn backRankMate endgame mate mateIn2 promotion short
p7L7W,8/8/6k1/8/P4pp1/1P2p3/4K2P/8 b - - 0 41,g6f6 a4a5 f6e5 a5a6 e5d4 a6a7,1073,advancedPawn crushing endgame long pawnEndgame quietMove
ylj1J,1k3r2/ppp3pp/3bN3/4n3/8/1Q5P/PP4P1/3R1q1K w - - 4 25,d1f1 f8f1 h1h2 e5g4,1073,discoveredCheck doubleCheck endgame mate mateIn2 short
eXcYg,r2q1rk1/1p1b1pp1/1n2p2p/pN1p4/P2P4/1P1QPB2/5PPP/2R2RK1 w - - 1 18,c1c7 d7b5 d3b5 d8c7,1075,capturingDefender crushing middlegame short
3ESLt,7k/p5p1/7p/8/3Q4/8/qr3PPP/4R1K1 b - - 1 26,b2b1 d4d8 h8h7 d8d3,1076,crushing endgame short
